0	1
spam	xxxmobilemovieclub: to use your credit click the wap link in the next txt message or click here http://wap xxxmobilemovieclubcomnqjkgighjjgcbl
ham	wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us
ham	who are you seeing
ham	yeah hopefully if tyler cant do it i could maybe ask around a bit
spam	sms ac sptv: the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv
ham	do you know what mallika sherawat did yesterday find out now   lturlgt
spam	congrats 1 year special cinema pass for 2 is yours call 09061209465 now c suprman v matrix3 starwars3 etc all 4 free bx420ip45we 150pm dont miss out 
ham	u can call me now
ham	yup next stop
ham	okay name ur price as long as its legal wen can i pick them up y u ave x ams xx
ham	thanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable
ham	going for dinnermsg you after
ham	wa ur openin sentence very formal anyway im fine too juz tt im eatin too much n puttin on weighthaha so anythin special happened
ham	a swt thought: nver get tired of doing little things 4 lovable persons cozsomtimes those little things occupy d biggest part in their hearts gud ni8
ham	yes see ya not on the dot
ham	ummmawill call after check inour life will begin from qatar so pls pray very hard
ham	new car and house for my parents:i have only new job in hand:
ham	sir i need axis bank account no and bank address
ham	what time you coming down later 
ham	turns out my friends are staying for the whole show and wont be back til ~ ltgt  so feel free to go ahead and smoke that $ ltgt  worth
ham	he will you guys close
spam	are you unique enough find out from 30th august wwwareyouuniquecouk
ham	did u got that persons story
ham	found it enc  ltgt  where you at
ham	you please give us connection today itself before  ltdecimalgt  or refund the bill
ham	tired i havent slept well the past few nights
ham	there is os called ubandu which will run without installing in hard diskyou can use that os to copy the important files in system and give it to repair shop
spam	text  meet someone sexy today u can find a date or even flirt its up to u join 4 just 10p reply with name  age eg sam 25 18 msg recdthirtyeight pence
ham	same wana plan a trip sometme then
ham	k i might come by tonight then if my class lets out early
ham	hurt me tease me make me cry but in the end of my life when i die plz keep one rose on my grave and say stupid i miss u have a nice day bslvyl
ham	jos ask if u wana meet up
ham	lol yes our friendship is hanging on a thread cause u wont buy stuff
spam	themob check out our newest selection of content games tones gossip babes and sport keep your mobile fit and funky text wap to 82468
ham	hi the way i was with u 2day is the normal waythis is the real me ur uniquei hope i know u 4 the rest of mylife hope u find wot was lost
ham	not really dude have no friends im afraid :
ham	no callsmessagesmissed calls
ham	u calling me right call my hand phone
spam	congratulations ur awarded 500 of cd vouchers or 125gift guaranteed  free entry 2 100 wkly draw txt music to 87066 tncs wwwldewcom1win150ppmx3age16
ham	hello my boytoy  geeee i miss you already and i just woke up i wish you were here in bed with me cuddling me i love you 
ham	im going for bath will msg you next  ltgt  min
ham	it took mr owl 3 licks
spam	4mths half price orange line rental  latest camera phones 4 free had your phone 11mths  call mobilesdirect free on 08000938767 to update now or2stoptxt
ham	hey so this sat are we going for the intro pilates only or the kickboxing too 
ham	morning only i can ok
ham	the hair cream has not been shipped
ham	hello good week fancy a drink or something later
ham	bring home some wendy d
ham	does she usually take fifteen fucking minutes to respond to a yes or no question
ham	ask g or iouri ive told the story like ten times already
ham	i wont get concentration dear you know you are my mind and everything :
ham	hanks lotsly
ham	ok i will tell her to stay out yeah its been tough but we are optimistic things will improve this month
ham	when are you going to ride your bike
ham	ok im gonna head up to usf in like fifteen minutes
ham	thank you baby i cant wait to taste the real thing
ham	depends on quality if you want the type i sent boye faded glory then about 6 if you want ralphs maybe 2
ham	nope think i will go for it on monday sorry i replied so late
ham	8 at the latest gs still there if you can scrounge up some ammo and want to give the new ak a try
spam	you are guaranteed the latest nokia phone a 40gb ipod mp3 player or a £500 prize txt word: collect to no: 83355 ibhltd ldnw15h 150p/mtmsgrcvd18
ham	but thats on ebay it might be less elsewhere
spam	todays offer claim ur £150 worth of discount vouchers text yes to 85023 now savamob member offers mobile t cs 08717898035 £300 sub 16  unsub reply x
ham	yes how is a pretty lady like you single
ham	ok every night take a warm bath drink a cup of milk and youll see a work of magic you still need to loose weight just so that you know
ham	hi princess thank you for the pics you are very pretty how are you
ham	oooh bed ridden ey what are you thinking of
ham	do you know where my lab goggles went
spam	our mobile number has won £5000 to claim calls us back or ring the claims hot line on 09050005321
ham	tell them u have a headache and just want to use 1 hour of sick time
ham	ya srsly better than yi tho
ham	yup i thk they r e teacher said that will make my face look longer darren ask me not 2 cut too short
ham	me n him so funny
ham	when ü login dat time dad fetching ü home now
ham	what will we do in the shower baby
ham	allo we have braved the buses and taken on the trains and triumphed i mean we‘re in b‘ham have a jolly good rest of week
spam	private your 2003 account statement for shows 800 unredeemed s i m points call 08715203694 identifier code: 40533 expires 31/10/04
ham	you will be in the place of that man
ham	leave it de: start prepare for next:
ham	is xy going 4 e lunch
ham	good good job i like entrepreneurs
ham	aight you close by or still down around alexs place
ham	the world is running and i am stillmaybe all are feeling the sameso be itor i have to admiti am madthen where is the correctionor let me call this is lifeand keep running with the worldmay be u r also runninglets run
ham	alright omw gotta change my order to a half8th
